name,faction,id,ship,points,upgradecount,uselesscount,uselesscost,upgrade00,upgrade01,upgrade02,upgrade03,upgrade04,upgrade05,upgrade06,upgrade07,upgrade08,upgrade09,agility,hull,shields,attack,initiative,useless00,useless01,useless02,useless03
Aaron Thatcher,rebelalliance,herasyndulla,attackshuttle,38,0,0,0,,,,,,,,,,,2,3,1,3,5,,,,
Aaron Troeger,firstorder,omegasquadronace,tiefofighter,30,2,1,1,composure,munitionsfailsafe,,,,,,,,,3,3,1,2,3,munitionsfailsafe,,,
Aaron Troeger,firstorder,lieutenantlehuse,tiesffighter,54,3,0,0,fanatical,specialforcesgunner,passivesensors,,,,,,,,2,3,3,2,5,,,,
Aaron Troeger,firstorder,starkillerbasepilot,upsilonclassshuttle,59,1,0,0,biohexacryptcodes,,,,,,,,,,1,6,6,4,2,,,,
Aaron Troeger,firstorder,ember,tiebainterceptor,54,1,0,0,predator,,,,,,,,,,3,2,2,3,4,,,,
Abel Schelfhout,galacticempire,darthvader,tieadvancedx1,89,3,0,0,advancedsensors,magpulsewarheads,afterburners,,,,,,,,3,3,2,2,6,,,,
Abel Schelfhout,galacticempire,obsidiansquadronpilot,tielnfighter,23,0,0,0,,,,,,,,,,,3,3,0,2,2,,,,
Abel Schelfhout,galacticempire,turrphennir,tieininterceptor,42,0,0,0,,,,,,,,,,,3,3,0,3,4,,,,
Abel Schelfhout,galacticempire,scimitarsquadronpilot,tiesabomber,46,3,0,0,iontorpedoes,protonrockets,concussionmissiles,,,,,,,,2,6,0,2,2,,,,
Adam Elleston,rebelalliance,leiaorgana,modifiedyt1300lightfreighter,106,4,0,0,concussionmissiles,ezrabridger,chewbacca,millenniumfalcon,,,,,,,1,8,5,3,5,,,,
Adam Elleston,rebelalliance,mirandadoni,btls8kwing,61,4,1,2,barragerockets,skilledbombardier,ionbombs,advancedslam,,,,,,,1,6,3,2,4,skilledbombardier,,,
Adam Elleston,rebelalliance,sabinewren-tielnfighter,tielnfighter,29,0,0,0,,,,,,,,,,,3,3,0,2,3,,,,
Adam Nieting,firstorder,firstordertestpilot,tievnsilencer,64,2,0,0,marksmanship,protonrockets,,,,,,,,,3,4,2,3,4,,,,
Adam Nieting,firstorder,omegasquadronexpert,tiesffighter,46,2,0,0,outmaneuver,collisiondetector,,,,,,,,,2,3,3,2,3,,,,
Adam Nieting,firstorder,firstorderprovocateur,tiebainterceptor,45,0,0,0,,,,,,,,,,,3,2,2,3,3,,,,
Adam Nieting,firstorder,lieutenantlehuse,tiesffighter,44,1,0,0,patternanalyzer,,,,,,,,,,2,3,3,2,5,,,,
Adam Nordquist,galacticrepublic,sinker,arc170starfighter,75,3,0,0,protontorpedoes,clonecommandercody,shieldupgrade,,,,,,,,1,6,4,3,3,,,,
Adam Nordquist,galacticrepublic,squadsevenveteran,arc170starfighter,59,2,0,0,protontorpedoes,tacticalscrambler,,,,,,,,,1,6,3,3,3,,,,
Adam Nordquist,galacticrepublic,obiwankenobi,delta7aethersprite,61,2,0,0,r2astromech,calibratedlasertargeting,,,,,,,,,3,3,1,2,5,,,,
Adam Shipley,galacticempire,lieutenantsai,lambdaclasst4ashuttle,65,3,0,0,autoblasters,emperorpalpatine,st321,,,,,,,,1,6,4,3,3,,,,
Adam Shipley,galacticempire,alphasquadronpilot,tieininterceptor,31,0,0,0,,,,,,,,,,,3,3,0,3,1,,,,
Adam Shipley,galacticempire,darthvader,tieadvancedx1,70,1,0,0,heightenedperception,,,,,,,,,,3,3,2,2,6,,,,
Adam Shipley,galacticempire,lieutenantkestal,tieagaggressor,31,0,0,0,,,,,,,,,,,2,4,1,2,4,,,,
Adam Sitnick,rebelalliance,braylenstramm,asf01bwing,58,1,0,0,iontorpedoes,,,,,,,,,,1,4,4,3,4,,,,
Adam Sitnick,rebelalliance,alexsandrkallus,vcx100lightfreighter,77,1,0,0,magvayarro,,,,,,,,,,0,10,4,4,4,,,,
Adam Sitnick,rebelalliance,benthictwotubes,ut60duwing,62,3,0,0,perceptivecopilot,k2so,pivotwing,,,,,,,,2,5,3,3,2,,,,
Agata Pikulska,firstorder,omegasquadronace,tiefofighter,45,3,0,0,debrisgambit,patternanalyzer,stealthdevice,,,,,,,,3,3,1,2,3,,,,
Agata Pikulska,firstorder,majorstridan,upsilonclassshuttle,61,0,0,0,,,,,,,,,,,1,6,6,4,4,,,,
Agata Pikulska,firstorder,quickdraw,tiesffighter,55,1,0,0,specialforcesgunner,,,,,,,,,,2,3,3,2,6,,,,
Agata Pikulska,firstorder,backdraft,tiesffighter,39,0,0,0,,,,,,,,,,,2,3,3,2,4,,,,
AJ Scarson,firstorder,lieutenantlehuse,tiesffighter,44,2,1,2,skilledbombardier,angleddeflectors,,,,,,,,,2,3,2,2,5,skilledbombardier,,,
AJ Scarson,firstorder,firstorderprovocateur,tiebainterceptor,63,4,0,0,proudtradition,biohexacryptcodes,protonrockets,stealthdevice,,,,,,,3,2,2,3,3,,,,
AJ Scarson,firstorder,null,tiefofighter,30,0,0,0,,,,,,,,,,,3,3,1,2,0,,,,
AJ Scarson,firstorder,majorvonreg,tiebainterceptor,59,1,0,0,fanatical,,,,,,,,,,3,2,2,3,6,,,,
Akhter Khan,galacticrepublic,anakinskywalker-btlbywing,btlbywing,71,2,0,0,iontorpedoes,r4p17,,,,,,,,,1,5,3,2,6,,,,
Akhter Khan,galacticrepublic,barrissoffee,delta7aethersprite,41,1,0,0,calibratedlasertargeting,,,,,,,,,,3,3,1,2,4,,,,
Akhter Khan,galacticrepublic,plokoon,delta7aethersprite,52,1,0,0,stealthdevice,,,,,,,,,,3,3,1,2,5,,,,
Akhter Khan,galacticrepublic,oddball,v19torrentstarfighter,34,0,0,0,,,,,,,,,,,2,5,0,2,5,,,,
Alan Beard,galacticrepublic,padmeamidala,nabooroyaln1starfighter,59,3,0,0,elusive,firecontrolsystem,plasmatorpedoes,,,,,,,,2,3,2,2,4,,,,
Alan Beard,galacticrepublic,bravoflightofficer,nabooroyaln1starfighter,42,1,0,0,plasmatorpedoes,,,,,,,,,,2,3,2,2,2,,,,
Alan Beard,galacticrepublic,naboohandmaiden,nabooroyaln1starfighter,55,2,0,0,r4pastromech,plasmatorpedoes,,,,,,,,,2,3,2,2,1,,,,
Alan Beard,galacticrepublic,ricolie,nabooroyaln1starfighter,42,0,0,0,,,,,,,,,,,2,3,2,2,5,,,,
Alejandro Sparano,rebelalliance,bladesquadronveteran,asf01bwing,48,1,0,0,iontorpedoes,,,,,,,,,,1,4,4,3,3,,,,
Alejandro Sparano,rebelalliance,ibtisam,arc170starfighter,58,4,1,7,landocalrissian,hotshotgunner,tacticalscrambler,composure,,,,,,,1,6,3,3,3,hotshotgunner,,,
Alejandro Sparano,rebelalliance,esegetuketu,btls8kwing,93,5,0,0,kananjarrus,electroprotonbomb,ezrabridger,clustermissiles,iontorpedoes,,,,,,1,6,3,2,3,,,,
Alex Boho,resistance,jessikapava,t70xwing,62,3,0,0,bb8,integratedsfoils,ferrospherepaint,,,,,,,,2,4,3,3,3,,,,
Alex Boho,resistance,jophseastriker,t70xwing,58,2,0,0,r2astromech,integratedsfoils,,,,,,,,,2,4,3,3,3,,,,
Alex Boho,resistance,rey,scavengedyt1300,80,1,0,0,finn,,,,,,,,,,1,8,3,3,5,,,,
Alex Boulton,galacticempire,valenrudor,tielnfighter,37,2,0,0,trickshot,staticdischargevanes,,,,,,,,,3,3,0,2,3,,,,
Alex Boulton,galacticempire,scarifbasepilot,tiereaper,57,2,0,0,darthvader,shieldupgrade,,,,,,,,,1,6,3,3,1,,,,
Alex Boulton,galacticempire,maulermithel,tielnfighter,31,0,0,0,,,,,,,,,,,3,3,0,2,5,,,,
Alex Boulton,galacticempire,idenversio,tielnfighter,41,0,0,0,,,,,,,,,,,3,3,0,2,4,,,,
Alex Boulton,galacticempire,onyxsquadronscout,tieagaggressor,34,1,0,0,magpulsewarheads,,,,,,,,,,2,4,1,2,3,,,,
Alex De Rosa,firstorder,starkillerbasepilot,upsilonclassshuttle,64,1,0,0,targetingsynchronizer,,,,,,,,,,1,6,6,4,2,,,,
Alex De Rosa,firstorder,starkillerbasepilot,upsilonclassshuttle,63,2,1,1,advancedoptics,munitionsfailsafe,,,,,,,,,1,6,6,4,2,munitionsfailsafe,,,
Alex De Rosa,firstorder,avenger,tievnsilencer,68,2,0,0,outmaneuver,targetingsynchronizer,,,,,,,,,3,4,2,3,3,,,,
Alex Pavloff,galacticrepublic,swoop,v19torrentstarfighter,39,2,0,0,intimidation,homingmissiles,,,,,,,,,2,5,0,2,3,,,,
Alex Pavloff,galacticrepublic,wolffe,arc170starfighter,61,2,0,0,lonewolf,iontorpedoes,,,,,,,,,1,6,3,3,4,,,,
Alex Pavloff,galacticrepublic,anakinskywalker-btlbywing,btlbywing,69,3,0,0,predictiveshot,iontorpedoes,r4astromech,,,,,,,,1,5,3,2,6,,,,
Alex Pavloff,galacticrepublic,goldsquadrontrooper,v19torrentstarfighter,25,0,0,0,,,,,,,,,,,2,5,0,2,2,,,,
Alex Raubach,separatistalliance,technounionbomber,hyenaclassdroidbomber,44,4,0,0,concussionmissiles,proximitymines,shieldupgrade,landingstruts,,,,,,,2,5,1,2,1,,,,
Alex Raubach,separatistalliance,wattambor,belbullab22starfighter,60,3,0,0,daredevil,kraken,soullessone,,,,,,,,2,5,2,3,3,,,,
Alex Raubach,separatistalliance,separatistbomber,hyenaclassdroidbomber,38,2,0,0,plasmatorpedoes,landingstruts,,,,,,,,,2,5,0,2,3,,,,
Alex Raubach,separatistalliance,skakoanace,belbullab22starfighter,38,0,0,0,,,,,,,,,,,2,3,2,3,3,,,,
Alex Raubach,separatistalliance,tradefederationdrone,vultureclassdroidfighter,19,0,0,0,,,,,,,,,,,2,3,0,2,1,,,,
Alex Smittle ,galacticempire,cutlasssquadronpilot,tiecapunisher,43,1,0,0,protonrockets,,,,,,,,,,1,6,3,2,2,,,,
Alex Smittle ,galacticempire,mornakee,vt49decimator,75,0,0,0,,,,,,,,,,,0,12,4,3,4,,,,
Alex Smittle ,galacticempire,darthvader,tieadvancedx1,81,3,0,0,passivesensors,homingmissiles,afterburners,,,,,,,,3,3,2,2,6,,,,
Alfred Schnabel,scumandvillainy,freightercaptain,customizedyt1300lightfreighter,65,5,0,0,concussionmissiles,bobafett,l337,tacticalscrambler,landosmillenniumfalcon,,,,,,1,8,3,2,1,,,,
Alfred Schnabel,scumandvillainy,sabinewren-lancerclasspursuitcraft,lancerclasspursuitcraft,76,3,1,1,predator,maul,munitionsfailsafe,,,,,,,,2,8,2,3,3,munitionsfailsafe,,,
Alfred Schnabel,scumandvillainy,teltrevura,jumpmaster5000,59,2,0,0,squadleader,punishingone,,,,,,,,,2,6,3,2,4,,,,
Andreas Karlsson,scumandvillainy,ig88c,aggressorassaultfighter,74,5,0,0,crackshot,firecontrolsystem,autoblasters,feedbackarray,ig2000,,,,,,3,5,3,3,4,,,,
Andreas Karlsson,scumandvillainy,toranikulda,m12lkimogilafighter,57,2,1,1,snapshot,delayedfuses,,,,,,,,,1,7,2,3,4,delayedfuses,,,
Andreas Karlsson,scumandvillainy,captainjostero,kihraxzfighter,42,0,0,0,,,,,,,,,,,2,5,1,3,3,,,,
Andreas Karlsson,scumandvillainy,overseeryushyn,modifiedtielnfighter,26,0,0,0,,,,,,,,,,,3,3,0,2,2,,,,
Andreas Tolman,galacticrepublic,goji,btlbywing,38,1,0,0,advprotontorpedoes,,,,,,,,,,1,5,3,2,2,,,,
Andreas Tolman,galacticrepublic,oddball-arc170starfighter,arc170starfighter,64,1,0,0,protontorpedoes,,,,,,,,,,1,6,3,3,5,,,,
Andreas Tolman,galacticrepublic,anakinskywalker,delta7aethersprite,67,1,0,0,calibratedlasertargeting,,,,,,,,,,3,3,1,2,6,,,,
Andreas Tolman,galacticrepublic,tucker,v19torrentstarfighter,29,0,0,0,,,,,,,,,,,2,5,0,2,2,,,,
Andrew Cox,resistance,rey,scavengedyt1300,99,5,0,0,chewbacca-crew-swz19,korrsella,finn,ablativeplating,reysmillenniumfalcon,,,,,,1,8,3,3,5,,,,
Andrew Cox,resistance,poedameron,t70xwing,68,1,0,0,integratedsfoils,,,,,,,,,,2,4,3,3,6,,,,
Andrew Cox,resistance,jarekyeager,fireball,33,0,0,0,,,,,,,,,,,2,6,0,2,5,,,,
Andrew Ferguson,resistance,kazudaxiono,fireball,58,3,0,0,snapshot,bb8,hullupgrade,,,,,,,,2,7,0,2,4,,,,
Andrew Ferguson,resistance,pammichnerrogoode,resistancetransport,44,2,0,0,patternanalyzer,autoblasters,,,,,,,,,1,5,3,2,3,,,,
Andrew Ferguson,resistance,greensquadronexpert,rz2awing,34,0,0,0,,,,,,,,,,,3,2,2,2,3,,,,
Andrew Ferguson,resistance,finn,resistancetransportpod,37,1,0,0,perceptivecopilot,,,,,,,,,,2,3,1,2,2,,,,
Andrew Ferguson,resistance,vimoradi,resistancetransportpod,27,0,0,0,,,,,,,,,,,2,3,1,2,1,,,,
Andrew Lippens,rebelalliance,landocalrissian-modifiedyt1300lightfreighter,modifiedyt1300lightfreighter,101,6,0,0,protonrockets,chopper-crew,niennunb,tacticalscrambler,stealthdevice,millenniumfalcon,,,,,1,8,5,3,5,,,,
Andrew Lippens,rebelalliance,ezrabridger-tielnfighter,tielnfighter,31,0,0,0,,,,,,,,,,,3,3,0,2,3,,,,
Andrew Lippens,rebelalliance,corranhorn,ewing,66,0,0,0,,,,,,,,,,,3,3,3,3,5,,,,
Andrew Neusch,galacticempire,vizier,tiereaper,64,2,0,0,cienaree,grandinquisitor,,,,,,,,,1,6,2,3,2,,,,
Andrew Neusch,galacticempire,turrphennir,tieininterceptor,46,2,1,1,intimidation,delayedfuses,,,,,,,,,3,3,0,3,4,delayedfuses,,,
Andrew Neusch,galacticempire,redline,tiecapunisher,89,7,0,0,firecontrolsystem,advprotontorpedoes,protonrockets,clustermissiles,proximitymines,protonbombs,angleddeflectors,,,,1,6,2,2,5,,,,
Andrew steel,resistance,bb8,resistancetransportpod,33,1,0,0,primedthrusters,,,,,,,,,,2,3,1,2,3,,,,
Andrew steel,resistance,nodinchavdri,resistancetransport,45,1,0,0,plasmatorpedoes,,,,,,,,,,1,5,3,2,2,,,,
Andrew steel,resistance,jarekyeager,fireball,37,1,0,0,swarmtactics,,,,,,,,,,2,6,0,2,5,,,,
Andrew steel,resistance,chewbacca-scavengedyt1300,scavengedyt1300,84,2,0,0,protonrockets,rey-gunner,,,,,,,,,1,8,3,3,4,,,,
Andrew Symons,resistance,lulolampar,rz2awing,53,2,0,0,homingmissiles,patternanalyzer,,,,,,,,,3,2,2,2,5,,,,
Andrew Symons,resistance,jarekyeager,fireball,33,0,0,0,,,,,,,,,,,2,6,0,2,5,,,,
Andrew Symons,resistance,colossusstationmechanic,fireball,26,0,0,0,,,,,,,,,,,2,6,0,2,2,,,,
Andrew Symons,resistance,elloasty,t70xwing,55,1,0,0,integratedsfoils,,,,,,,,,,2,4,3,3,5,,,,
Andrew Symons,resistance,finn,resistancetransportpod,33,1,0,0,advancedoptics,,,,,,,,,,2,3,1,2,2,,,,
Andy van Zanten,firstorder,firstorderprovocateur,tiebainterceptor,56,2,0,0,patternanalyzer,concussionmissiles,,,,,,,,,3,2,2,3,3,,,,
Andy van Zanten,firstorder,majorvonreg,tiebainterceptor,69,3,0,0,crackshot,patternanalyzer,concussionmissiles,,,,,,,,3,2,2,3,6,,,,
Andy van Zanten,firstorder,blackout,tievnsilencer,73,2,0,0,lonewolf,homingmissiles,,,,,,,,,3,4,2,3,5,,,,
Anthony Hillen,resistance,bb8,resistancetransportpod,45,3,0,0,swarmtactics,primedthrusters,rosetico,,,,,,,,2,3,1,2,3,,,,
Anthony Hillen,resistance,hansolo-scavengedyt1300,scavengedyt1300,91,4,0,0,lonewolf,homingmissiles,rey-gunner,deadmansswitch,,,,,,,1,8,3,3,6,,,,
Anthony Hillen,resistance,cobaltsquadronbomber,mg100starfortress,64,2,0,0,paigetico,protonbombs,,,,,,,,,1,9,3,3,1,,,,
Arkadiusz Kuna,separatistalliance,darthmaul,sithinfiltrator,76,2,0,0,predictiveshot,gnkgonkdroid,,,,,,,,,1,6,4,3,5,,,,
Arkadiusz Kuna,separatistalliance,berwerkret,nantexclassstarfighter,40,0,0,0,,,,,,,,,,,3,4,0,3,5,,,,
Arkadiusz Kuna,separatistalliance,separatistbomber,hyenaclassdroidbomber,34,1,0,0,magpulsewarheads,,,,,,,,,,2,5,0,2,3,,,,
Arkadiusz Kuna,separatistalliance,dbs404,hyenaclassdroidbomber,43,3,0,0,advprotontorpedoes,proximitymines,landingstruts,,,,,,,,2,5,0,2,4,,,,
Ashok Photay ,firstorder,majorvonreg,tiebainterceptor,57,0,0,0,,,,,,,,,,,3,2,2,3,6,,,,
Ashok Photay ,firstorder,commandermalarus,tiefofighter,43,1,0,0,patternanalyzer,,,,,,,,,,3,3,1,2,5,,,,
Ashok Photay ,firstorder,midnight,tiefofighter,42,0,0,0,,,,,,,,,,,3,3,1,2,6,,,,
Ashok Photay ,firstorder,captainphasma,tiesffighter,57,3,0,0,elusive,patternanalyzer,specialforcesgunner,,,,,,,,2,3,3,2,4,,,,
Assistant Beaker,scumandvillainy,4lom,g1astarfighter,55,2,0,0,zuckuss,stealthdevice,,,,,,,,,1,5,4,3,3,,,,
Assistant Beaker,scumandvillainy,l337,customizedyt1300lightfreighter,65,5,0,0,clustermissiles,chewbacca-crew,novicetechnician,contrabandcybernetics,landosmillenniumfalcon,,,,,,1,8,3,2,2,,,,
Assistant Beaker,scumandvillainy,moraloeval,yv666lightfreighter,76,3,1,6,composure,autoblasters,jabbathehutt,,,,,,,,1,9,3,3,4,jabbathehutt,,,
balindamood,scumandvillainy,blacksunassassin,starviperclassattackplatform,69,3,0,0,swarmtactics,advancedsensors,shieldupgrade,,,,,,,,3,4,2,3,3,,,,
balindamood,scumandvillainy,miningguildsurveyor,modifiedtielnfighter,26,1,0,0,targetingcomputer,,,,,,,,,,3,3,0,2,2,,,,
balindamood,scumandvillainy,teltrevura,jumpmaster5000,55,2,0,0,advprotontorpedoes,punishingone,,,,,,,,,2,6,3,2,4,,,,
balindamood,scumandvillainy,captainseevor,modifiedtielnfighter,45,2,0,0,snapshot,stealthdevice,,,,,,,,,3,3,0,2,3,,,,
BazAvJoes,galacticempire,onyxsquadronscout,tieagaggressor,35,1,0,0,protonrockets,,,,,,,,,,2,4,1,2,3,,,,
BazAvJoes,galacticempire,majorvynder,alphaclassstarwing,48,2,0,0,crackshot,iontorpedoes,,,,,,,,,2,4,3,2,4,,,,
BazAvJoes,galacticempire,onyxsquadronscout,tieagaggressor,33,2,0,0,composure,ionmissiles,,,,,,,,,2,4,1,2,3,,,,
BazAvJoes,galacticempire,rhosquadronpilot,alphaclassstarwing,45,2,0,0,passivesensors,protonrockets,,,,,,,,,2,4,3,2,3,,,,
BazAvJoes,galacticempire,deathfire,tiesabomber,38,1,0,0,proximitymines,,,,,,,,,,2,6,0,2,2,,,,
Ben Doyle,separatistalliance,feethanottrawautopilot,belbullab22starfighter,35,0,0,0,,,,,,,,,,,2,3,2,3,1,,,,
Ben Doyle,separatistalliance,baktoidprototype,hyenaclassdroidbomber,37,3,0,0,passivesensors,clustermissiles,landingstruts,,,,,,,,2,5,0,2,1,,,,
Ben Doyle,separatistalliance,baktoidprototype,hyenaclassdroidbomber,37,2,0,0,passivesensors,concussionmissiles,,,,,,,,,2,5,0,2,1,,,,
Ben Doyle,separatistalliance,chertek,nantexclassstarfighter,41,1,0,0,predator,,,,,,,,,,3,4,0,3,4,,,,
Ben Doyle,separatistalliance,separatistbomber,hyenaclassdroidbomber,28,0,0,0,,,,,,,,,,,2,5,0,2,3,,,,
Ben Doyle,separatistalliance,separatistdrone,vultureclassdroidfighter,21,0,0,0,,,,,,,,,,,2,3,0,2,3,,,,
Ben Harding,rebelalliance,janors,hwk290lightfreighter,47,1,0,0,proximitymines,,,,,,,,,,2,3,2,2,5,,,,
Ben Harding,rebelalliance,herasyndulla-vcx100lightfreighter,vcx100lightfreighter,81,1,0,0,sawgerrera,,,,,,,,,,0,10,4,4,5,,,,
Ben Harding,rebelalliance,chewbacca,modifiedyt1300lightfreighter,71,0,0,0,,,,,,,,,,,1,8,5,3,4,,,,
Ben Janssen,scumandvillainy,blacksunassassin,starviperclassattackplatform,48,0,0,0,,,,,,,,,,,3,4,1,3,3,,,,
Ben Janssen,scumandvillainy,hiredgun,btla4ywing,41,1,0,0,plasmatorpedoes,,,,,,,,,,1,6,2,2,2,,,,
Ben Janssen,scumandvillainy,freightercaptain,customizedyt1300lightfreighter,56,2,0,0,l337,dengar,,,,,,,,,1,8,3,2,1,,,,
Ben Janssen,scumandvillainy,talonbanecobra,kihraxzfighter,50,0,0,0,,,,,,,,,,,2,5,1,3,5,,,,
Ben McCarty,resistance,zaribangel,rz2awing,44,2,0,0,predator,protonrockets,,,,,,,,,3,2,2,2,3,,,,
Ben McCarty,resistance,ronithblario,rz2awing,201,1,0,0,crackshot,,,,,,,,,,3,2,2,2,2,,,,
Ben McCarty,resistance,bluesquadronrookie,t70xwing,46,2,0,0,integratedsfoils,advancedoptics,,,,,,,,,2,4,3,3,1,,,,
Ben McCarty,resistance,jarekyeager,fireball,36,1,0,0,feedbackarray,,,,,,,,,,2,6,0,2,5,,,,
Ben McCarty,resistance,r1j5,fireball,37,1,0,0,amilynholdo,,,,,,,,,,2,6,0,2,1,,,,
Ben Pappas,rebelalliance,bluesquadronpilot,asf01bwing,55,4,1,3,passivesensors,advprotontorpedoes,targetingcomputer,stabilizedsfoils,,,,,,,1,4,4,3,2,targetingcomputer,,,
Ben Pappas,rebelalliance,gavindarklighter,ewing,86,4,0,0,firecontrolsystem,protontorpedoes,r4astromech,shieldupgrade,,,,,,,3,3,4,3,4,,,,
Ben Pappas,rebelalliance,sabinewren,attackshuttle,57,3,0,0,debrisgambit,leiaorgana,ioncannonturret,,,,,,,,2,3,1,3,3,,,,
Ben Worth,rebelalliance,lieutenantblount,z95af4headhunter,30,0,0,0,,,,,,,,,,,2,2,2,2,4,,,,
Ben Worth,rebelalliance,mirandadoni,btls8kwing,54,1,0,0,electroprotonbomb,,,,,,,,,,1,6,3,2,4,,,,
Ben Worth,rebelalliance,hortonsalm,btla4ywing,58,3,1,2,protontorpedoes,afterburners,skilledbombardier,,,,,,,,1,6,2,2,4,skilledbombardier,,,
Ben Worth,rebelalliance,lowhhrick,auzituckgunship,58,1,0,0,cassianandor,,,,,,,,,,1,6,2,3,3,,,,
BenD,firstorder,pettyofficerthanisson,upsilonclassshuttle,70,3,0,0,advancedoptics,patternanalyzer,electronicbaffle,,,,,,,,1,6,6,4,1,,,,
BenD,firstorder,sienarjaemusengineer,tievnsilencer,60,1,0,0,plasmatorpedoes,,,,,,,,,,3,4,2,3,1,,,,
BenD,firstorder,starkillerbasepilot,upsilonclassshuttle,68,2,0,0,patternanalyzer,captainphasma,,,,,,,,,1,6,6,4,2,,,,
BenjaminCapovilla ,rebelalliance,knavesquadronescort,ewing,62,3,0,0,firecontrolsystem,iontorpedoes,r5astromech,,,,,,,,3,3,3,3,2,,,,
BenjaminCapovilla ,rebelalliance,chopper,vcx100lightfreighter,95,4,0,0,ioncannonturret,landocalrissian,cassianandor,hansolo,,,,,,,0,10,4,4,2,,,,
BenjaminCapovilla ,rebelalliance,bluesquadronescort,t65xwing,40,1,0,0,servomotorsfoils,,,,,,,,,,2,4,2,3,2,,,,
Blair Bunke,firstorder,longshot,tiefofighter,32,1,0,0,composure,,,,,,,,,,3,3,1,2,3,,,,
Blair Bunke,firstorder,lieutenantrivas,tiefofighter,27,0,0,0,,,,,,,,,,,3,3,1,2,1,,,,
Blair Bunke,firstorder,static,tiefofighter,33,0,0,0,,,,,,,,,,,3,3,1,2,4,,,,
Blair Bunke,firstorder,lieutenanttavson,upsilonclassshuttle,75,2,0,0,captainphasma,ioncannon,,,,,,,,,1,6,6,4,3,,,,
Blair Bunke,firstorder,scorch,tiefofighter,33,0,0,0,,,,,,,,,,,3,3,1,2,4,,,,
