listid,faction,id,ship,points,upgradecount,uselesscount,uselesscost,upgrade00,upgrade01,upgrade02,upgrade03,upgrade04,upgrade05,upgrade06,upgrade07,upgrade08,upgrade09,agility,hull,shields,attack,initiative,useless00,useless01,useless02,useless03,yasb
Helpme87#1,resistance,colossusstationmechanic,fireball,48,6,2,4,r2astromech,inertialdampeners,ionmissiles,stealthdevice,munitionsfailsafe,kazsfireball,,,,,2,6,0,2,2,inertialdampeners,ionmissiles,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z380X101W2W95W166W108W315Y348X206WWY379X100W231W92WW108WY256X133WWW175WWWY345XWWW&sn=Random%20Squad&obs=
Korp Reideick#2,galacticempire,sigmasquadronace,tiephphantom,68,4,2,1,hotshotgunner,munitionsfailsafe,trajectorysimulator,outmaneuver,,,,,,,2,3,2,3,4,hotshotgunner,munitionsfailsafe,,,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z201X126W114W86W108Y181XWWY183XWWWY176XWW105&sn=Random%20Squad&obs=
Punkheadphones#1,resistance,r1j5,fireball,44,5,2,1,perceptivecopilot,contrabandcybernetics,electronicbaffle,munitionsfailsafe,kazsfireball,,,,,,2,6,0,2,1,perceptivecopilot,munitionsfailsafe,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z348X186WWY379XW54W92W106W108W315Y346XW13W234WW245W195W109Y352XWWWWWWY345XWWW&sn=Random%20Squad&obs=
Sam (Tin Sqn)#2,resistance,kazudaxiono,fireball,55,4,2,1,concussionmissiles,delayedfuses,staticdischargevanes,kazsfireball,,,,,,,2,6,0,2,4,concussionmissiles,delayedfuses,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z349XW186W59WY378XW99WWW236W109W315Y352XWWWW231W190WY379X99WWWWWY348XWW&sn=Random%20Squad&obs=
Vipcard3#2,resistance,kazudaxiono,fireball,59,5,2,1,magpulsewarheads,delayedfuses,staticdischargevanes,trickshot,kazsfireball,,,,,,2,6,0,2,4,magpulsewarheads,delayedfuses,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z378X133W311WWW236W109W315Y240XWW102WY256XW195WW175WWW10Y271XWWW&sn=Random%20Squad&obs=
Aaron#1,rebelalliance,ezrabridger-sheathipedeclassshuttle,sheathipedeclassshuttle,59,4,1,3,r3astromech,kananjarrus,electronicbaffle,phantom,,,,,,,2,4,1,2,3,r3astromech,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z25X119WW234WWWW87Y70XW41W106W4W167Y56XWWY54XWW&sn=Random%20Squad&obs=
Aaron T#1,firstorder,omegasquadronace,tiefofighter,30,2,1,1,munitionsfailsafe,composure,,,,,,,,,3,3,1,2,3,munitionsfailsafe,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z267X115WW108Y397X181WWWW240WY288X202WWW179WWWWY383X127WWW&sn=Random%20Squad&obs=
Aaron T#2,separatistalliance,dfs081,vultureclassdroidfighter,27,1,1,1,delayedfuses,,,,,,,,,,2,3,0,2,3,delayedfuses,,,,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z272X203W12W135WW32W316WWW223Y311XWW236Y334X75W232WWWWWW216W&sn=Random%20Squad&obs=
Aaron Thatcher#2,galacticrepublic,squadsevenveteran,arc170starfighter,56,4,1,1,r4pastromech,freelanceslicer,veterantailgunner,delayedfuses,,,,,,,1,6,3,3,3,delayedfuses,,,,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z338X120W134W30WW213W165Y340XWW30W89W213W236Y314XWW201W165&sn=Random%20Squad&obs=
Abel#1,galacticempire,obsidiansquadronpilot,tielnfighter,24,1,1,1,munitionsfailsafe,,,,,,,,,,3,3,0,2,2,munitionsfailsafe,,,,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z228X108Y208X135W99W102WWWWY173XW111W311WY180XWW&sn=Random%20Squad&obs=
aceagain#1,firstorder,lieutenantdormitz,upsilonclassshuttle,76,2,1,1,informant,delayedfuses,,,,,,,,,1,6,6,4,2,delayedfuses,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z269X178WY238XWWW37WWWW236Y233XWWY286XWW&sn=Random%20Squad&obs=
AgentStack#2,scumandvillainy,crymorahgoon,btla4ywing,60,4,1,7,genius,electroprotonbomb,hotshotgunner,plasmatorpedoes,,,,,,,1,6,2,2,1,hotshotgunner,,,,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z88XW234W86W1W235WWY82XWWWWWWWY143XWWWWY116XWWWWWWW&sn=Random%20Squad&obs=
Ajay2017#1,scumandvillainy,dalanoberos-starviperclassattackplatform,starviperclassattackplatform,63,2,1,3,targetingcomputer,iontorpedoes,,,,,,,,,3,4,1,3,4,targetingcomputer,,,,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z149XWW135W249WY154XW11W100W62WWWW106WY129XW135WW9W93W165&sn=Random%20Squad&obs=
Ajay2017#2,rebelalliance,braylenstramm,asf01bwing,81,6,1,3,ioncannon,stabilizedsfoils,targetingcomputer,collisiondetector,elusive,plasmatorpedoes,,,,,1,4,4,3,4,targetingcomputer,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z73X119W112W11WW234W249W313Y67XWW105W138W167Y15XY26XWWW5WWW&sn=Random%20Squad&obs=
AJP2#1,scumandvillainy,viktorhel,kihraxzfighter,52,2,1,3,clustermissiles,targetingcomputer,,,,,,,,,2,5,1,3,4,targetingcomputer,,,,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z159X98WW165Y121XW98WWW249WY137XWY84XWWWWWWWY304X&sn=Random%20Squad&obs=
AJP2#2,separatistalliance,dbs32c,hyenaclassdroidbomber,49,2,1,3,targetingcomputer,trajectorysimulator,,,,,,,,,2,5,0,2,3,targetingcomputer,,,,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z336X232WW32WWWW216WY357XWY328X114WW249WY327XWWWW&sn=Random%20Squad&obs=
AKarlsson(Swe)#1,rebelalliance,wullffwarro,auzituckgunship,65,4,1,1,sabinewren,landocalrissian,delayedfuses,elusive,,,,,,,1,6,2,3,4,delayedfuses,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z58X119W57W44W236Y38XW111W314W46W165W140Y80XW136WWWW&sn=Random%20Squad&obs=
AKarlsson(Swe)#2,scumandvillainy,toranikulda,m12lkimogilafighter,55,2,1,1,delayedfuses,iontorpedoes,,,,,,,,,1,7,2,3,4,delayedfuses,,,,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z83X116W113W232WWW94WW151Y129XW135WWWW236Y122XWWWWY303X&sn=Random%20Squad&obs=
Akurzen#1,galacticempire,whisper,tiephphantom,65,3,1,2,skilledbombardier,hullupgrade,ruthless,,,,,,,,2,4,2,3,5,skilledbombardier,,,,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z199X128WW88W164Y174X125W113W98WY224X132WY218XW249&sn=Random%20Squad&obs=
Akurzen#2,separatistalliance,66,sithinfiltrator,64,2,1,8,informant,perceptivecopilot,,,,,,,,,1,6,4,3,3,perceptivecopilot,,,,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z336X13WW30WW221W166W216WY358XWY311XWWY335XWWW37W54WWWW&sn=Random%20Squad&obs=
Alaedar#1,resistance,colossusstationmechanic,fireball,34,2,1,6,concussionmissiles,electronicbaffle,,,,,,,,,2,6,0,2,2,concussionmissiles,,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z300XWWWY380X99WWWW106WY250X240WW32WWWWWY298XWWW175WWW&sn=Random%20Squad&obs=
AlejandroSparano#1,rebelalliance,ibtisam,arc170starfighter,58,4,1,7,landocalrissian,hotshotgunner,tacticalscrambler,composure,,,,,,,1,6,3,3,3,hotshotgunner,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z80X115WW44W86WW110Y18X135WWW81W41W235WWY75XW114WWW135WW&sn=Random%20Squad&obs=
AlejandroSparano#2,resistance,paigetico,mg100starfortress,67,2,1,2,skilledbombardier,lonewolf,,,,,,,,,1,9,3,3,5,skilledbombardier,,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z389X124WWWW88WWWWY260X113W198WWWWW67WY250X240WWWWWWW&sn=Random%20Squad&obs=
Almost Brave#2,scumandvillainy,kavil,btla4ywing,54,2,1,8,agilegunner,hullupgrade,,,,,,,,,1,7,2,2,5,agilegunner,,,,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z95X116W20W108Y85XWWW76WWWW164Y135XWWY93XWW249Y86XWWWWWWW&sn=Random%20Squad&obs=
ampersand#1,rebelalliance,lothalrebel,vcx100lightfreighter,101,5,1,14,seasonednavigator,gnkgonkdroid,hansolo,staticdischargevanes,ghost,,,,,,0,10,4,4,2,hansolo,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z65X115W54WW138WY64XWWW59W32W109W84W148Y70XWWWW&sn=Random%20Squad&obs=
ampersand#2,galacticrepublic,oddball-arc170starfighter,arc170starfighter,64,3,1,8,agilegunner,stealthdevice,crackshot,,,,,,,,1,6,3,3,5,agilegunner,,,,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z338X116WWW76WW166Y341XWWWWY322XWW2WY313XWWW&sn=Random%20Squad&obs=
Andrew#2,galacticempire,turrphennir,tieininterceptor,46,2,1,1,delayedfuses,intimidation,,,,,,,,,3,3,0,3,4,delayedfuses,,,,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z185X24W33W249Y180X122W236WY191X113W134W102W98WW70W69W&sn=Random%20Squad&obs=
andy steel#2,rebelalliance,zeborrelios-sheathipedeclassshuttle,sheathipedeclassshuttle,47,3,1,3,r3astromech,gnkgonkdroid,phantom,,,,,,,,2,4,1,2,2,r3astromech,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z21X117W114W134WW247Y80X124W234W44WW2WY71XW32WW4W167&sn=Random%20Squad&obs=
AngryRasin#2,separatistalliance,technounionbomber,hyenaclassdroidbomber,38,2,1,7,proximitymines,protonrockets,,,,,,,,,2,5,0,2,1,protonrockets,,,,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z272X204WWW37W217W71WWWY324XW102W70WWY336XWWW219WWW216W223&sn=Random%20Squad&obs=
arctic_rogue#2,rebelalliance,ezrabridger-tielnfighter,tielnfighter,32,1,1,1,instinctiveaim,,,,,,,,,,3,3,0,2,3,instinctiveaim,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z14X73WY46XWW30W109WW156Y38XW114WWW108W140Y79XWWWWW&sn=Random%20Squad&obs=
arctic_rogue#2,rebelalliance,partisanrenegade,ut60duwing,50,3,1,1,pivotwing,munitionsfailsafe,trajectorysimulator,,,,,,,,2,5,3,3,1,munitionsfailsafe,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z14X73WY46XWW30W109WW156Y38XW114WWW108W140Y79XWWWWW&sn=Random%20Squad&obs=
assimilation#1,resistance,vimoradi,resistancetransportpod,33,2,1,1,munitionsfailsafe,primedthrusters,,,,,,,,,2,3,1,2,1,munitionsfailsafe,,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z348X178WW108Y349X120W177W243W106Y379X98WW95WWW315Y299XWWW175WWWY300XWWW&sn=Random%20Squad&obs=
assistantBKR#1,scumandvillainy,moraloeval,yv666lightfreighter,82,4,1,6,autoblasters,jabbathehutt,ablativeplating,composure,,,,,,,1,9,3,3,4,jabbathehutt,,,,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z109XWW66WW166WY91XW22W53WW92WW152Y152X115W232WWW39WWW103W&sn=Random%20Squad&obs=
assistantBKR#2,rebelalliance,roarkgarnet,hwk290lightfreighter,72,5,1,1,connernets,engineupgrade,delayedfuses,snapshot,moldycrow,,,,,,2,3,2,2,4,delayedfuses,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z47X256W68WW107W236W156Y62X203WW136W137WWWWWY53XW&sn=Random%20Squad&obs=
BaldWookie#2,resistance,hansolo-scavengedyt1300,scavengedyt1300,84,3,1,6,novicetechnician,rosetico,outmaneuver,,,,,,,,1,8,3,3,6,outmaneuver,,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z245X126WW53W173WWWWY347XW13WWW244W196W165Y378XW101WWW105WW315&sn=Random%20Squad&obs=
BaldWookie#2,resistance,kazudaxiono,fireball,52,3,1,4,ionmissiles,afterburners,kazsfireball,,,,,,,,2,6,0,2,4,ionmissiles,,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z245X126WW53W173WWWWY347XW13WWW244W196W165Y378XW101WWW105WW315&sn=Random%20Squad&obs=
balindamood#2,resistance,colossusstationmechanic,fireball,38,4,1,4,r4astromech,cloakingdevice,ionmissiles,kazsfireball,,,,,,,2,6,0,2,2,ionmissiles,,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z380X101W5W91WWW315Y291XW206W30W76W90W235WWY348XW243W249Y350XWWW106&sn=Random%20Squad&obs=
balindamood#2,resistance,vimoradi,resistancetransportpod,34,2,1,3,larmadacy,targetingcomputer,,,,,,,,,2,3,1,2,1,targetingcomputer,,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z380X101W5W91WWW315Y291XW206W30W76W90W235WWY348XW243W249Y350XWWW106&sn=Random%20Squad&obs=
Basscor#1,firstorder,omegasquadronace,tiefofighter,34,3,1,1,delayedfuses,crackshot,advancedoptics,,,,,,,,3,3,1,2,3,delayedfuses,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z281X177W186W179W180W53W232W113WY267X116W186W236Y242X131WW99W86W240W109&sn=Random%20Squad&obs=
Beautifulleif#1,rebelalliance,ezrabridger,attackshuttle,47,2,1,1,instinctiveaim,stealthdevice,,,,,,,,,2,3,1,3,3,instinctiveaim,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z12XW122WWW164W142Y73X124WWW12W135WW313Y67X73WW166WWY53XW&sn=Random%20Squad&obs=
Ben Doyle#1,rebelalliance,esegetuketu,btls8kwing,45,1,1,1,munitionsfailsafe,,,,,,,,,,1,6,3,2,3,munitionsfailsafe,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z70X203W32W166WWY18XWWWWWWW108Y46X123W68WW105WWY51XWW&sn=Random%20Squad&obs=
Ben Worth#1,galacticempire,blacksquadronscout,tieskstriker,43,4,1,1,seismiccharges,skilledbombardier,munitionsfailsafe,elusive,,,,,,,2,4,0,3,3,munitionsfailsafe,,,,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z212X119W88W71W108Y190XWW102WW166Y194XWWWY189XW138WWWW&sn=Random%20Squad&obs=
Ben Worth#2,rebelalliance,hortonsalm,btla4ywing,55,3,1,2,skilledbombardier,afterburners,squadleader,,,,,,,,1,6,2,2,4,skilledbombardier,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z55XWWY17XWWWWW235WWY26X131WWWW105WW88Y59XWW19W&sn=Random%20Squad&obs=
bgFish#2,rebelalliance,bladesquadronveteran,asf01bwing,65,6,1,3,tractorbeam,stabilizedsfoils,targetingcomputer,collisiondetector,elusive,iontorpedoes,,,,,1,4,4,3,3,targetingcomputer,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z79X133W135W59WW3W110Y75X119W112W13WW135W249W313Y27XW137WWWWW77&sn=Random%20Squad&obs=
Bigfoot#1,galacticempire,patrolleader,vt49decimator,81,3,1,2,novicetechnician,clustermines,skilledbombardier,,,,,,,,0,12,4,3,2,skilledbombardier,,,,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z216XWWW53W88W316WWY188XWW102WW86WY206XWWWWWWY171XWW100&sn=Random%20Squad&obs=
Bigfoot#1,galacticempire,doubleedge,tieagaggressor,43,2,1,7,hotshotgunner,protonrockets,,,,,,,,,2,4,1,2,2,hotshotgunner,,,,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z216XWWW53W88W316WWY188XWW102WW86WY206XWWWWWWY171XWW100&sn=Random%20Squad&obs=
Bigfoot#2,galacticrepublic,jediknight,delta7aethersprite,56,3,1,1,delta7b,instinctiveaim,synchronizedconsole,,,,,,,,2,3,3,3,3,instinctiveaim,,,,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z277X74W233WWY277X73WW201W211Y274XW6WWY332XWWW&sn=Random%20Squad&obs=
Biggsy#1,resistance,jarekyeager,fireball,49,4,1,1,r2astromech,munitionsfailsafe,outmaneuver,kazsfireball,,,,,,,2,6,0,2,5,munitionsfailsafe,,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z377X126WW2WWW108W315Y387X131WWWY379XW188WWW164WY346XWW136W54WWW105&sn=Random%20Squad&obs=
Biggsy#2,firstorder,backdraft,tiesffighter,53,2,1,8,agilegunner,stealthdevice,,,,,,,,,2,3,3,2,4,agilegunner,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z242XWWW76WW166Y243XWWWWW106Y266XWWY288XWWWWWWW&sn=Random%20Squad&obs=
Bizze#2,rebelalliance,norrawexley-btla4ywing,btla4ywing,67,4,1,3,clustermines,veteranturretgunner,targetingcomputer,ioncannonturret,,,,,,,1,6,2,2,5,targetingcomputer,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z51XW126WY25XW138WWW249W316W90Y46XW71WWW105WY38XWWWWW140&sn=Random%20Squad&obs=
Bjmorrissey#1,resistance,finn,resistancetransportpod,51,4,1,3,amilynholdo,targetingcomputer,outmaneuver,patternanalyzer,,,,,,,2,3,1,2,2,targetingcomputer,,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z350X126W206W242W249Y349X126W177W192W249Y291X111WWWWWWWY301X127WW178&sn=Random%20Squad&obs=
Bjmorrissey#1,resistance,bb8,resistancetransportpod,45,4,1,3,hansolo-crew,targetingcomputer,outmaneuver,targetingsynchronizer,,,,,,,2,3,1,2,3,targetingcomputer,,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z350X126W206W242W249Y349X126W177W192W249Y291X111WWWWWWWY301X127WW178&sn=Random%20Squad&obs=
Black2710#2,separatistalliance,bombardmentdrone,hyenaclassdroidbomber,36,2,1,1,ionbombs,delayedfuses,,,,,,,,,2,5,0,2,3,delayedfuses,,,,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z343X99W208W106Y325XWW70WWY325XW317WW236WY326XW98WWWY310XWWY354XW&sn=Random%20Squad&obs=
blake#2,resistance,kazudaxiono,fireball,62,5,1,6,deadmansswitch,magpulsewarheads,stealthdevice,staticdischargevanes,kazsfireball,,,,,,2,6,0,2,4,magpulsewarheads,,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z348X186W245W247Y350XWWWY378XW311WW93W166W109W315Y295XW246WWWWW&sn=Random%20Squad&obs=
BLT25#2,firstorder,pettyofficerthanisson,upsilonclassshuttle,65,2,1,1,informant,munitionsfailsafe,,,,,,,,,1,6,6,4,1,munitionsfailsafe,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z383XW178W311WY281XWWWW37WWW108Y287XWW135W102&sn=Random%20Squad&obs=
Bluetricycle#2,galacticrepublic,anakinskywalker-btlbywing,btlbywing,89,6,1,3,r4p44,foresight,agilegunner,targetingcomputer,iontorpedoes,dorsalturret,,,,,1,5,3,2,6,targetingcomputer,,,,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z359X251W137W135W76W226WW249Y360X123W137WWW233WWY274XWW201W&sn=Random%20Squad&obs=
BobbySapphire#1,galacticempire,rhosquadronpilot,alphaclassstarwing,41,4,1,1,xg1assaultconfiguration,munitionsfailsafe,firecontrolsystem,intimidation,,,,,,,2,4,3,2,3,munitionsfailsafe,,,,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z163X122W113WWW108W144WY201XW111WW236Y182X165WY225X122WY223XW&sn=Random%20Squad&obs=
BobbySapphire#1,galacticempire,sigmasquadronace,tiephphantom,59,2,1,1,delayedfuses,advancedsensors,,,,,,,,,2,3,2,3,4,delayedfuses,,,,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z163X122W113WWW108W144WY201XW111WW236Y182X165WY225X122WY223XW&sn=Random%20Squad&obs=
BobbySapphire#2,separatistalliance,chertek,nantexclassstarfighter,45,1,1,6,outmaneuver,,,,,,,,,,3,4,0,3,4,outmaneuver,,,,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z306X228WW109W229Y308X239WWY356X126WY279XWWY311XWW&sn=Random%20Squad&obs=
Boom Owl#1,firstorder,backdraft,tiesffighter,65,4,1,8,agilegunner,concussionmissiles,staticdischargevanes,trajectorysimulator,,,,,,,2,3,3,2,4,agilegunner,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z397XW186WW182W240W109Y242XWW99W76W114W109Y289XWWWW183WWW&sn=Random%20Squad&obs=
Boom Owl#2,resistance,logisticsdivisionpilot,resistancetransport,47,3,1,1,delayedfuses,patternanalyzer,plasmatorpedoes,,,,,,,,1,5,3,2,1,delayedfuses,,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z346X206WW234WWWW236Y349XW206WW105Y254XWW175WWWY260X114WW246W88WWWW&sn=Random%20Squad&obs=
Boom Owl#2,resistance,cobaltsquadronbomber,mg100starfortress,66,3,1,2,pz4co,skilledbombardier,trajectorysimulator,,,,,,,,1,9,3,3,1,skilledbombardier,,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z346X206WW234WWWW236Y349XW206WW105Y254XWW175WWWY260X114WW246W88WWWW&sn=Random%20Squad&obs=
Brack Daddy#1,firstorder,lieutenantlehuse,tiesffighter,41,1,1,2,skilledbombardier,,,,,,,,,,2,3,3,2,5,skilledbombardier,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z284XW177WW311Y283XWWW101Y397XWWW88WWY235XWW&sn=Random%20Squad&obs=
Brack Daddy#2,galacticempire,redline,tiecapunisher,77,5,1,7,connernets,hotshotgunner,ionmissiles,tacticalscrambler,advprotontorpedoes,,,,,,1,6,3,2,5,hotshotgunner,,,,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z209X132WW70WY191XW134W101WW86W68WW110Y201X124W113W82W&sn=Random%20Squad&obs=
Bradley Ho#2,rebelalliance,ap5,sheathipedeclassshuttle,36,3,1,3,r3astromech,marksmanship,phantom,,,,,,,,2,4,1,2,1,r3astromech,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z72X125WWW4W167Y63X134W111W138W17W19WW76W148Y69XW46WWW&sn=Random%20Squad&obs=
Bradley Ho#2,rebelalliance,chopper,vcx100lightfreighter,106,7,1,3,bazemalbus,cassianandor,agilegunner,advancedsensors,ghost,advprotontorpedoes,ioncannonturret,,,,0,10,4,4,2,bazemalbus,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z72X125WWW4W167Y63X134W111W138W17W19WW76W148Y69XW46WWW&sn=Random%20Squad&obs=
Brent G#1,resistance,kazudaxiono,fireball,52,3,1,6,cloakingdevice,concussionmissiles,kazsfireball,,,,,,,,2,6,0,2,4,concussionmissiles,,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z378XW99WW91WWW315Y349X116W206W32WY351XW177WWWW245WWY348XWWY379XWWWWW&sn=Random%20Squad&obs=
