name,rank,faction,id,ship,points,upgradecount,uselesscount,uselesscost,upgrade00,upgrade01,upgrade02,upgrade03,upgrade04,upgrade05,upgrade06,upgrade07,upgrade08,upgrade09,agility,hull,shields,attack,initiative,useless00,useless01,useless02,useless03
Nobbie,32,resistance,karekun,t70xwing,58,2,0,0,m9g8,integratedsfoils,,,,,,,,,2,4,3,3,4,,,,
Britton Carr,32,scumandvillainy,cartelmarauder,kihraxzfighter,46,2,0,0,concussionmissiles,electronicbaffle,,,,,,,,,2,5,1,3,2,,,,
Britton Carr,32,scumandvillainy,guri,starviperclassattackplatform,74,1,0,0,advancedsensors,,,,,,,,,,3,4,1,3,5,,,,
Britton Carr,32,scumandvillainy,bossk,yv666lightfreighter,67,2,0,0,crackshot,novicetechnician,,,,,,,,,1,9,3,3,4,,,,
Britton Carr,32,scumandvillainy,autopilotdrone,escapecraft,12,0,0,0,,,,,,,,,,,2,2,2,2,1,,,,
Timo Hetzel,32,galacticempire,planetarysentinel,tieskstriker,31,0,0,0,,,,,,,,,,,2,4,0,3,1,,,,
Timo Hetzel,32,galacticempire,omicrongrouppilot,lambdaclasst4ashuttle,48,1,0,0,agentkallus,,,,,,,,,,1,6,4,3,1,,,,
Timo Hetzel,32,galacticempire,captainjonus,tiesabomber,68,4,0,0,intimidation,barragerockets,proximitymines,shieldupgrade,,,,,,,2,6,1,2,4,,,,
Timo Hetzel,32,galacticempire,soontirfel,tieininterceptor,53,0,0,0,,,,,,,,,,,3,3,0,3,6,,,,
Agata Pikulska,32,firstorder,omegasquadronace,tiefofighter,45,3,0,0,debrisgambit,patternanalyzer,stealthdevice,,,,,,,,3,3,1,2,3,,,,
Agata Pikulska,32,firstorder,majorstridan,upsilonclassshuttle,61,0,0,0,,,,,,,,,,,1,6,6,4,4,,,,
Agata Pikulska,32,firstorder,quickdraw,tiesffighter,55,1,0,0,specialforcesgunner,,,,,,,,,,2,3,3,2,6,,,,
Agata Pikulska,32,firstorder,backdraft,tiesffighter,39,0,0,0,,,,,,,,,,,2,3,3,2,4,,,,
Trukson,32,galacticempire,scarifbasepilot,tiereaper,61,3,0,0,grandinquisitor,agentkallus,shieldupgrade,,,,,,,,1,6,3,3,1,,,,
Trukson,32,galacticempire,gammasquadronace,tiesabomber,55,4,0,0,diamondboronmissiles,clustermines,protonbombs,staticdischargevanes,,,,,,,2,6,0,2,3,,,,
Trukson,32,galacticempire,whisper,tiephphantom,84,3,0,0,outmaneuver,advancedsensors,fifthbrother,,,,,,,,2,3,2,3,5,,,,
Ted W,32,galacticempire,maarekstele,tieadvancedx1,61,4,0,0,marksmanship,passivesensors,magpulsewarheads,afterburners,,,,,,,3,3,2,2,5,,,,
Ted W,32,galacticempire,fifthbrother,tieadvancedv1,50,2,0,0,brilliantevasion,homingmissiles,,,,,,,,,3,2,2,2,4,,,,
Ted W,32,galacticempire,seventhsister,tieadvancedv1,48,1,0,0,homingmissiles,,,,,,,,,,3,2,2,2,4,,,,
Ted W,32,galacticempire,sienarspecialist,tieagaggressor,39,2,0,0,dorsalturret,veteranturretgunner,,,,,,,,,2,4,1,2,2,,,,
CaptainSebastian ,32,resistance,zizitlo,rz2awing,56,3,1,6,outmaneuver,intimidation,protonrockets,,,,,,,,3,2,2,2,5,outmaneuver,,,
CaptainSebastian ,32,resistance,rosetico,resistancetransportpod,37,3,0,0,marksmanship,advancedoptics,ga97,,,,,,,,2,3,1,2,3,,,,
CaptainSebastian ,32,resistance,pammichnerrogoode,resistancetransport,40,1,0,0,larmadacy,,,,,,,,,,1,5,3,2,3,,,,
CaptainSebastian ,32,resistance,karekun,t70xwing,64,4,0,0,staticdischargevanes,integratedsfoils,blackone,homingmissiles,,,,,,,2,4,3,3,4,,,,
Nathan Willcock,32,separatistalliance,technounionbomber,hyenaclassdroidbomber,35,2,0,0,clustermissiles,drk1probedroids,,,,,,,,,2,5,0,2,1,,,,
Nathan Willcock,32,separatistalliance,generalgrievous,belbullab22starfighter,55,2,0,0,composure,kraken,,,,,,,,,2,3,2,3,4,,,,
Nathan Willcock,32,separatistalliance,separatistdrone,vultureclassdroidfighter,27,1,0,0,concussionmissiles,,,,,,,,,,2,3,0,2,3,,,,
Nathan Willcock,32,separatistalliance,technounionbomber,hyenaclassdroidbomber,37,1,0,0,electroprotonbomb,,,,,,,,,,2,5,0,2,1,,,,
Nathan Willcock,32,separatistalliance,skakoanace,belbullab22starfighter,44,1,0,0,shieldupgrade,,,,,,,,,,2,3,3,3,3,,,,
Patrick Steiche,32,galacticempire,seynmarana,tielnfighter,32,2,1,1,marksmanship,munitionsfailsafe,,,,,,,,,3,3,0,2,4,munitionsfailsafe,,,
Patrick Steiche,32,galacticempire,stormsquadronace,tieadvancedx1,39,0,0,0,,,,,,,,,,,3,3,2,2,3,,,,
Patrick Steiche,32,galacticempire,majorvermeil,tiereaper,49,0,0,0,,,,,,,,,,,1,6,2,3,4,,,,
Patrick Steiche,32,galacticempire,lieutenantkestal,tieagaggressor,31,0,0,0,,,,,,,,,,,2,4,1,2,4,,,,
Patrick Steiche,32,galacticempire,seventhsister,tieadvancedv1,48,1,0,0,clustermissiles,,,,,,,,,,3,2,2,2,4,,,,
"""Tsukuda Joe"" Congdon",32,scumandvillainy,sabinewren-lancerclasspursuitcraft,lancerclasspursuitcraft,64,2,0,0,zuckuss,shadowcaster,,,,,,,,,2,8,2,3,3,,,,
"""Tsukuda Joe"" Congdon",32,scumandvillainy,gandfindsman,g1astarfighter,41,0,0,0,,,,,,,,,,,1,5,4,3,1,,,,
"""Tsukuda Joe"" Congdon",32,scumandvillainy,torkilmux,hwk290lightfreighter,38,0,0,0,,,,,,,,,,,2,3,2,2,2,,,,
"""Tsukuda Joe"" Congdon",32,scumandvillainy,gandfindsman,g1astarfighter,44,1,0,0,passivesensors,,,,,,,,,,1,5,4,3,1,,,,
"""Tsukuda Joe"" Congdon",32,scumandvillainy,autopilotdrone,escapecraft,12,0,0,0,,,,,,,,,,,2,2,2,2,1,,,,
Garrett Jost,32,scumandvillainy,ahhav,modifiedtielnfighter,30,0,0,0,,,,,,,,,,,3,3,0,2,3,,,,
Garrett Jost,32,scumandvillainy,hiredgun,btla4ywing,38,2,1,1,ioncannonturret,munitionsfailsafe,,,,,,,,,1,6,2,2,2,munitionsfailsafe,,,
Garrett Jost,32,scumandvillainy,graz,kihraxzfighter,48,1,0,0,deadmansswitch,,,,,,,,,,2,5,1,3,4,,,,
Garrett Jost,32,scumandvillainy,blacksunassassin,starviperclassattackplatform,56,1,0,0,virago,,,,,,,,,,3,4,2,3,3,,,,
Garrett Jost,32,scumandvillainy,l337-escapecraft,escapecraft,26,0,0,0,,,,,,,,,,,2,2,2,2,2,,,,
Brian Squidgy Sloan,32,scumandvillainy,cartelmarauder,kihraxzfighter,38,0,0,0,,,,,,,,,,,2,5,1,3,2,,,,
Brian Squidgy Sloan,32,scumandvillainy,ig88c,aggressorassaultfighter,80,4,0,0,firecontrolsystem,ioncannon,connernets,contrabandcybernetics,,,,,,,3,5,3,3,4,,,,
Brian Squidgy Sloan,32,scumandvillainy,blacksunassassin,starviperclassattackplatform,48,0,0,0,,,,,,,,,,,3,4,1,3,3,,,,
Brian Squidgy Sloan,32,scumandvillainy,jakkugunrunner,quadrijettransferspacetug,30,0,0,0,,,,,,,,,,,2,5,0,2,1,,,,
Cam Murray ,32,scumandvillainy,binayrepirate,z95af4headhunter,28,1,0,0,concussionmissiles,,,,,,,,,,2,2,2,2,1,,,,
Cam Murray ,32,scumandvillainy,dalanoberos,m12lkimogilafighter,60,3,0,0,clustermissiles,r5p8,angleddeflectors,,,,,,,,1,7,1,3,3,,,,
Cam Murray ,32,scumandvillainy,palobgodalhi,hwk290lightfreighter,63,2,0,0,protonbombs,moldycrow,,,,,,,,,2,3,2,2,3,,,,
Cam Murray ,32,scumandvillainy,miningguildsentry,modifiedtielnfighter,22,0,0,0,,,,,,,,,,,3,3,0,2,1,,,,
Cam Murray ,32,scumandvillainy,kaatoleeachos,z95af4headhunter,27,0,0,0,,,,,,,,,,,2,2,2,2,3,,,,
Aaron Furminger,32,separatistalliance,berwerkret,nantexclassstarfighter,41,1,0,0,composure,,,,,,,,,,3,4,0,3,5,,,,
Aaron Furminger,32,separatistalliance,bombardmentdrone,hyenaclassdroidbomber,36,2,0,0,proximitymines,delayedfuses,,,,,,,,,2,5,0,2,3,,,,
Aaron Furminger,32,separatistalliance,066,sithinfiltrator,65,1,0,0,chancellorpalpatine,,,,,,,,,,1,6,4,3,3,,,,
Aaron Furminger,32,separatistalliance,separatistbomber,hyenaclassdroidbomber,29,1,0,0,landingstruts,,,,,,,,,,2,5,0,2,3,,,,
Aaron Furminger,32,separatistalliance,separatistbomber,hyenaclassdroidbomber,28,0,0,0,,,,,,,,,,,2,5,0,2,3,,,,
JF Gaudreau,32,galacticrepublic,obiwankenobi,delta7aethersprite,52,2,1,1,brilliantevasion,munitionsfailsafe,,,,,,,,,3,3,1,2,5,munitionsfailsafe,,,
JF Gaudreau,32,galacticrepublic,luminaraunduli,delta7aethersprite,46,1,0,0,calibratedlasertargeting,,,,,,,,,,3,3,1,2,4,,,,
JF Gaudreau,32,galacticrepublic,oddball-btlbywing,btlbywing,55,2,0,0,iontorpedoes,protonbombs,,,,,,,,,1,5,3,2,5,,,,
JF Gaudreau,32,galacticrepublic,padmeamidala,nabooroyaln1starfighter,45,0,0,0,,,,,,,,,,,2,3,2,2,4,,,,
Miguel JUstiniano,32,scumandvillainy,cartelmarauder,kihraxzfighter,38,0,0,0,,,,,,,,,,,2,5,1,3,2,,,,
Miguel JUstiniano,32,scumandvillainy,dacebonearm,hwk290lightfreighter,63,3,0,0,ionbombs,stealthdevice,moldycrow,,,,,,,,2,3,2,2,4,,,,
Miguel JUstiniano,32,scumandvillainy,kavil,btla4ywing,54,2,0,0,ioncannonturret,ionbombs,,,,,,,,,1,6,2,2,5,,,,
Miguel JUstiniano,32,scumandvillainy,binayrepirate,z95af4headhunter,22,0,0,0,,,,,,,,,,,2,2,2,2,1,,,,
Miguel JUstiniano,32,scumandvillainy,miningguildsurveyor,modifiedtielnfighter,23,0,0,0,,,,,,,,,,,3,3,0,2,2,,,,
Taloncor,32,firstorder,ember,tiebainterceptor,58,1,0,0,concussionmissiles,,,,,,,,,,3,2,2,3,4,,,,
Taloncor,32,firstorder,omegasquadronexpert,tiesffighter,40,2,1,2,ionmissiles,skilledbombardier,,,,,,,,,2,3,3,2,3,skilledbombardier,,,
Taloncor,32,firstorder,holo,tiebainterceptor,55,1,0,0,composure,,,,,,,,,,3,2,2,3,5,,,,
Taloncor,32,firstorder,backdraft,tiesffighter,47,1,1,8,agilegunner,,,,,,,,,,2,3,3,2,4,agilegunner,,,
Daniel Wochnick,64,resistance,hansolo-scavengedyt1300,scavengedyt1300,70,1,0,0,lonewolf,,,,,,,,,,1,8,3,3,6,,,,
Daniel Wochnick,64,resistance,chewbacca-scavengedyt1300,scavengedyt1300,70,1,0,0,hotshotgunner,,,,,,,,,,1,8,3,3,4,,,,
Daniel Wochnick,64,resistance,resistancesympathizer,scavengedyt1300,60,0,0,0,,,,,,,,,,,1,8,3,3,2,,,,
Kyle Fuller ,64,galacticrepublic,obiwankenobi,delta7aethersprite,52,1,0,0,calibratedlasertargeting,,,,,,,,,,3,3,1,2,5,,,,
Kyle Fuller ,64,galacticrepublic,plokoon,delta7aethersprite,44,0,0,0,,,,,,,,,,,3,3,1,2,5,,,,
Kyle Fuller ,64,galacticrepublic,axe,v19torrentstarfighter,35,1,0,0,swarmtactics,,,,,,,,,,2,5,0,2,3,,,,
Kyle Fuller ,64,galacticrepublic,anakinskywalker-btlbywing,btlbywing,69,1,0,0,plasmatorpedoes,,,,,,,,,,1,5,3,2,6,,,,
Robbie Connolly,64,resistance,lulolampar,rz2awing,44,1,0,0,heroic,,,,,,,,,,3,2,2,2,5,,,,
Robbie Connolly,64,resistance,r1j5,fireball,48,3,1,5,clustermissiles,rosetico,hullupgrade,,,,,,,,2,7,0,2,1,clustermissiles,,,
Robbie Connolly,64,resistance,nodinchavdri,resistancetransport,56,3,0,0,tractorbeam,protontorpedoes,r5astromech,,,,,,,,1,5,3,2,2,,,,
Robbie Connolly,64,resistance,kazudaxiono,fireball,49,2,0,0,bb8,advancedslam,,,,,,,,,2,6,0,2,4,,,,
Darryl McMillon,64,rebelalliance,partisanrenegade,ut60duwing,50,2,0,0,leiaorgana,pivotwing,,,,,,,,,2,5,3,3,1,,,,
Darryl McMillon,64,rebelalliance,ginamoonsong,asf01bwing,59,1,0,0,plasmatorpedoes,,,,,,,,,,1,4,4,3,5,,,,
Darryl McMillon,64,rebelalliance,bladesquadronveteran,asf01bwing,42,0,0,0,,,,,,,,,,,1,4,4,3,3,,,,
Darryl McMillon,64,rebelalliance,bladesquadronveteran,asf01bwing,42,0,0,0,,,,,,,,,,,1,4,4,3,3,,,,
Eddie Preisser,64,rebelalliance,bluesquadronpilot,asf01bwing,47,1,0,0,ioncannon,,,,,,,,,,1,4,4,3,2,,,,
Eddie Preisser,64,rebelalliance,ap5,sheathipedeclassshuttle,39,1,0,0,leiaorgana,,,,,,,,,,2,4,1,2,1,,,,
Eddie Preisser,64,rebelalliance,mirandadoni,btls8kwing,51,2,0,0,proximitymines,seismiccharges,,,,,,,,,1,6,3,2,4,,,,
Eddie Preisser,64,rebelalliance,talasquadronpilot,z95af4headhunter,24,0,0,0,,,,,,,,,,,2,2,2,2,2,,,,
Eddie Preisser,64,rebelalliance,lieutenantblount,z95af4headhunter,36,1,0,0,magpulsewarheads,,,,,,,,,,2,2,2,2,4,,,,
Aurélien COUDRAy,64,resistance,greensquadronexpert,rz2awing,34,0,0,0,,,,,,,,,,,3,2,2,2,3,,,,
Aurélien COUDRAy,64,resistance,colossusstationmechanic,fireball,28,1,0,0,electronicbaffle,,,,,,,,,,2,6,0,2,2,,,,
Aurélien COUDRAy,64,resistance,finchdallow,mg100starfortress,73,2,0,0,passivesensors,gnkgonkdroid,,,,,,,,,1,9,3,3,4,,,,
Aurélien COUDRAy,64,resistance,niennunb,t70xwing,60,2,0,0,integratedsfoils,patternanalyzer,,,,,,,,,2,4,3,3,5,,,,
BenD,64,firstorder,pettyofficerthanisson,upsilonclassshuttle,70,3,0,0,advancedoptics,patternanalyzer,electronicbaffle,,,,,,,,1,6,6,4,1,,,,
BenD,64,firstorder,sienarjaemusengineer,tievnsilencer,60,1,0,0,plasmatorpedoes,,,,,,,,,,3,4,2,3,1,,,,
BenD,64,firstorder,starkillerbasepilot,upsilonclassshuttle,68,2,0,0,patternanalyzer,captainphasma,,,,,,,,,1,6,6,4,2,,,,
Robert Kukuchka,64,galacticrepublic,r2d2,btlbywing,51,3,0,0,intimidation,ioncannonturret,c3po-republic,,,,,,,,1,5,3,2,2,,,,
Robert Kukuchka,64,galacticrepublic,oddball,v19torrentstarfighter,41,2,0,0,predator,clustermissiles,,,,,,,,,2,5,0,2,5,,,,
Robert Kukuchka,64,galacticrepublic,wolffe,arc170starfighter,50,0,0,0,,,,,,,,,,,1,6,3,3,4,,,,
Robert Kukuchka,64,galacticrepublic,anakinskywalker-nabooroyaln1starfighter,nabooroyaln1starfighter,58,2,0,0,r5astromech,protontorpedoes,,,,,,,,,2,3,2,2,4,,,,
Wilhelm Fors,64,firstorder,firstorderprovocateur,tiebainterceptor,48,1,0,0,elusive,,,,,,,,,,3,2,2,3,3,,,,
Wilhelm Fors,64,firstorder,firstordertestpilot,tievnsilencer,62,1,0,0,outmaneuver,,,,,,,,,,3,4,2,3,4,,,,
Wilhelm Fors,64,firstorder,ember,tiebainterceptor,52,0,0,0,,,,,,,,,,,3,2,2,3,4,,,,
Wilhelm Fors,64,firstorder,commandermalarus,tiefofighter,38,0,0,0,,,,,,,,,,,3,3,1,2,5,,,,
Patrick Hanson,64,firstorder,scorch,tiefofighter,33,0,0,0,,,,,,,,,,,3,3,1,2,4,,,,
Patrick Hanson,64,firstorder,midnight,tiefofighter,42,0,0,0,,,,,,,,,,,3,3,1,2,6,,,,
Patrick Hanson,64,firstorder,firstorderprovocateur,tiebainterceptor,45,0,0,0,,,,,,,,,,,3,2,2,3,3,,,,
Patrick Hanson,64,firstorder,tn3465,tiefofighter,34,1,0,0,targetingsynchronizer,,,,,,,,,,3,3,1,2,2,,,,
Patrick Hanson,64,firstorder,lieutenantlehuse,tiesffighter,45,1,0,0,concussionmissiles,,,,,,,,,,2,3,3,2,5,,,,
Brent T Grelle,64,galacticempire,deathfire,tiesabomber,43,1,0,0,fifthbrother,,,,,,,,,,2,6,0,2,2,,,,
Brent T Grelle,64,galacticempire,rearadmiralchiraneau,vt49decimator,87,2,0,0,freelanceslicer,clustermines,,,,,,,,,0,12,4,3,5,,,,
Brent T Grelle,64,galacticempire,seynmarana,tielnfighter,30,0,0,0,,,,,,,,,,,3,3,0,2,4,,,,
Brent T Grelle,64,galacticempire,lieutenantkestal,tieagaggressor,36,1,0,0,ioncannonturret,,,,,,,,,,2,4,1,2,4,,,,
Preston Bitzer,64,galacticrepublic,ricolie,nabooroyaln1starfighter,54,2,0,0,daredevil,advancedsensors,,,,,,,,,2,3,2,2,5,,,,
Preston Bitzer,64,galacticrepublic,squadsevenveteran,arc170starfighter,49,1,0,0,r4p44,,,,,,,,,,1,6,3,3,3,,,,
Preston Bitzer,64,galacticrepublic,kickback,v19torrentstarfighter,33,0,0,0,,,,,,,,,,,2,5,0,2,4,,,,
Preston Bitzer,64,galacticrepublic,sinker,arc170starfighter,59,1,0,0,r2astromech,,,,,,,,,,1,6,3,3,3,,,,
